Sample	Exon	CDS	UTR	Gene	Intron	Intergenic
trimm_UMI_P58-1_S17_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P58-1_S17_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 38537827 17857364 9089458 15191231 15933558 2582848
trimm_UMI_P58-2_S18_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P58-2_S18_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 25872832 12793805 6430996 9189713 8956981 1440764
trimm_UMI_P64-1_S7_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P64-1_S7_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 34753287 16178334 6813377 15396962 19064177 4564981
trimm_UMI_P64-2_S8_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P64-2_S8_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 19166739 7364107 3534850 10909728 13296574 3285489
trimm_UMI_P65-1_S9_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P65-1_S9_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 13583695 4712841 2272767 7945538 6822019 1265785
trimm_UMI_P65-2_S10_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P65-2_S10_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 26401323 10123926 4757669 11822618 13589045 2870987
trimm_UMI_P67-1_S11_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P67-1_S11_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 37952174 13832729 6454089 15915431 17111728 3264237
trimm_UMI_P67-2_S12_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P67-2_S12_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 51183747 16102304 7539059 38852533 23115207 4564130
trimm_UMI_P69-1_S13_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P69-1_S13_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 15809680 3981616 1967916 15674898 7420494 1124481
trimm_UMI_P69-2_S14_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P69-2_S14_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 65740844 17346278 7975817 58761282 29097791 4610757
trimm_UMI_P73-1_S15_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P73-1_S15_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 2019398 583447 318725 1276738 1441098 347346
trimm_UMI_P73-2_S16_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P73-2_S16_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 9868229 4002929 1834610 4250213 5525582 1229158
trimm_UMI_P77-1_S17_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P77-1_S17_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 5486493 2208926 1008353 2702913 3397258 796983
trimm_UMI_P77-2_S18_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P77-2_S18_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 535608 194582 117524 473120 504590 133314
trimm_UMI_P82-1_S19_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P82-1_S19_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 2838129 1274081 614298 1019460 1430825 289890
trimm_UMI_P82-2_S20_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P82-2_S20_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 3508305 1389065 682582 2327850 2715264 677083
trimm_UMI_P83-1_S21_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P83-1_S21_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 14580662 5849003 2678659 6211697 8270842 1845215
trimm_UMI_P83-2_S22_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P83-2_S22_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 30545380 12433925 5673535 9977088 14511233 2982081
trimm_UMI_P84-1_S23_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P84-1_S23_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 28616753 11745348 4849633 8900015 12776188 2361712
trimm_UMI_P84-2_S24_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P84-2_S24_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 10870288 4325405 2031254 4332223 5823884 1221246
trimm_UMI_P85-1_S25_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P85-1_S25_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 48054618 19953508 8883900 16057847 23185475 5074912
trimm_UMI_P85-2_S26_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P85-2_S26_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 33155934 13259252 5786469 12112150 16565117 3602129
trimm_UMI_P86-1_S27_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P86-1_S27_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 23791683 9310122 4448648 8868926 11830611 2412183
trimm_UMI_P86-2_S28_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P86-2_S28_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 6286961 2392818 1187901 2777974 3597940 752822
trimm_UMI_P87-1_S29_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P87-1_S29_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 9011486 3606440 1629156 3313975 4597499 878293
trimm_UMI_P87-2_S30_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P87-2_S30_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 7081993 2857748 1308316 2555464 3495603 691493
trimm_UMI_P89-1_S31_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P89-1_S31_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 7970367 3116928 1590760 3343437 4418738 927729
trimm_UMI_P89-2_S32_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P89-2_S32_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 8344950 3007029 1519284 3218363 4298444 862129
trimm_UMI_P90-1_S33_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P90-1_S33_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 4360334 1773451 841356 2079791 2747196 634803
trimm_UMI_P90-2_S34_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P90-2_S34_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 7181842 2782989 1293161 3579256 4541645 1043610
